#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
126,"Love Is Gone","Vanotek",32,100,"","Love Is Gone",2018-10-11,03:36,51,82,15,0,34,0,0,-5,G Minor,4,2023-04-05,78ryR7A7KA4VkBn9lNe5dK,"undefined",6A,FR96X1843629
127,"Starships","Nicki Minaj",73,125,"","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)",2012-01-01,03:30,75,72,14,0,75,0,20,-2,B Minor,4,2023-04-05,2EBCVPNAG46nbgs6jXPGvv,"undefined",10A,USCM51200060
128,"California Gurls","Katy Perry,Snoop Dogg",62,125,"pop, g-funk, rap de pe Coasta de Vest, gangster rap, hip hop, rap","Teenage Dream",2010-08-24,03:54,79,75,0,0,40,0,10,-4,C Major,4,2023-04-05,3f7gYMirBEKuc57218BjOY,"undefined",8B,USCA21001135
129,"Break Your Heart","Taio Cruz",64,122,"","The Rokstarr Hits Collection",2010-01-01,03:21,61,93,3,0,57,0,0,-4,D#/E♭ Major,4,2023-04-05,7ElF5zxOwYP4qVSWVvse3W,"undefined",5B,GBUM70908662
130,"Don't Stop The Music","Rihanna",78,123,"","Good Girl Gone Bad: Reloaded",2008-06-02,04:27,83,67,3,0,55,0,0,-6,F#/G♭ Minor,4,2023-04-05,0ByMNEPAPpOR5H69DVrTNy,"undefined",11A,USUM70734700
131,"Bolnavi Amandoi","Irina Rimes",46,117,"","Despre El",2017-10-20,03:35,72,58,20,0,22,0,10,-7,C♯/D♭ Minor,4,2023-04-09,5orCNJFvXE4WA4SoFKe9C1,"undefined",12A,FRX201733248
132,"How Do You Sleep?","Sam Smith",63,166,"soft pop","Love Goes",2020-10-30,03:22,56,69,15,0,36,0,0,-5,C♯/D♭ Minor,4,2023-04-28,34pRqzRiFcIuyRMuuEayzY,"undefined",12A,GBUM71902381
133,"Brother Louie - Remastered","Modern Talking",24,109,"disco din Italia, europop, eurodance","30",2014-10-03,03:41,75,90,26,1,81,0,20,-6,D#/E♭ Major,4,2023-05-13,4Hkq4aqN9HLF1A2ZS16UBv,"undefined",5B,DEC731400129
134,"Cheri Cheri Lady","Modern Talking",27,114,"disco din Italia, europop, eurodance","30",2014-10-03,03:45,68,81,38,1,85,0,40,-7,A#/B♭ Major,4,2023-05-13,5HOlyK1Tpj6cbhNTg72z3O,"undefined",6B,DEC731400130
135,"You're My Heart, You're My Soul - Remastered","Modern Talking",30,118,"disco din Italia, europop, eurodance","30",2014-10-03,03:19,78,78,3,1,84,0,0,-6,C♯/D♭ Minor,4,2023-05-13,5ixATJPpQWdy9uTNSYYDbh,"undefined",12A,DEC731400132
136,"Backseat of Your Cadillac - Single Version","C.C. Catch",25,124,"disco din Italia, dance din Italia, europop, hi-nrg","Greatest Hits",2018-10-05,03:22,70,86,4,0,96,0,0,-6,B Minor,4,2023-05-13,08ELdy0Y3kHX59SR5qy69z,"undefined",10A,DEH820500223
137,"Seven Nation Army","The White Stripes",79,124,"garage rock, blues rock, rock, rock alternativ","Elephant",2003-04-01,03:52,74,45,0,12,28,0,30,-8,E Minor,4,2023-05-13,3dPQuX8Gs42Y7b454ybpMR,"undefined",9A,USVT10300001
138,"You Shook Me All Night Long","AC/DC",77,127,"rock, hard rock, rock clasic, rock and roll","Back In Black",1980-07-25,03:30,53,77,0,0,76,0,30,-6,G Major,4,2023-05-13,2SiXAy7TuUkycRVbbWDEpo,"undefined",9B,AUAP08000047
139,"Paradise City","Guns N' Roses",76,100,"rock, glam metal, hard rock, rock clasic","Appetite For Destruction",1987-07-21,06:45,27,98,2,1,39,10,10,-6,B Major,4,2023-05-13,6eN1f9KNmiWEhpE2RhQqB5,"undefined",1B,USGF18714806
140,"All Along the Watchtower","Jimi Hendrix",70,113,"rock psihedelic, rock clasic, acid rock, blues rock","Electric Ladyland",1968-10-25,04:00,44,81,0,0,56,0,0,-6,G#/A♭ Major,4,2023-05-13,2aoo2jlRnM3A0NyLQqMN2f,"undefined",4B,USQX90900749
141,"Beggin'","Måneskin",78,134,"","Chosen",2017-12-08,03:31,71,80,13,0,59,0,30,-5,B Minor,4,2023-05-13,3Wrjm47oTz2sjIgck11l5e,"undefined",10A,ITB001700846
